text,label
"So it's going to be gradual but to get to a 55% by the end of the year or for the year, we're starting at a place that's 56.7%.",0
"Even so, we plan to meet our sales and profit targets, thanks to growth in the service business and steady progress on the construction of large-scale domestic thermal power plants for which we have already received orders.",0
"In Europe, all of our pulp and paper mills fall under the EU Emissions Trading Scheme (EU ETS) and in South Africa, the government has committed to introduce a carbon tax.",0
"The integration of fuel (upstream and procurement), existing overseas power generation, and energy infrastructure businesses was completed in July 2016, when the company started its full-scale operation as one of the leading energy companies in the world.",0
"During Capital Markets Day 2020, Hydro announced a new and extended improvement ambition, now aiming to achieve improvements of NOK 8.5 billion by 2025.",0
"John, I know you want to add anything at a high level to that.",0
I think all businesses have made their commitment in looking at the overall spending plan and make sure we are basically doing everything we can to become more efficient.,0
"Like as an example, for 2 decades, we have had VP of Sales, but we didn't have VP of Customer Retention.",0
"To this end, Eiffage Route introduced a roadmap for the 2012–2015 period, including 12 per- formance indicators to measure raw material and energy consumption for product manufacturing activities in each region.",0
"And as you saw, we -- in the 2.7 agreement -- or announcement, I should say, we expect to delever over the next couple of years down to levels that are similar to where we stand today.",0
Hydrocarbon spills with an environmental impact: spills with a volume greater than 1 barrel (≈159 liters) are counted.,0
"And as Brent said, given the environment that we are in today, but what you see is that management has adjusted the expense level to withstand a little bit of this low wind environment.",0
"And also, because of new contract arrangements flowing in different pressures and such, our fuel usage is much lower.",0
No we’re including the puts and takes and just to talk a little bit about the transition.,0
We've also said that we've looked at all the possibilities of things that would be of interest to us.,0
"For us, it's all about the software, it's not about anything else.",0
"We have relationships with companies like waste management, the significant partners, to help us manage that.",0
But it's certainly a hefty investment that needs to be made in our state for renewable energy in order to meet that portfolio of standard.,0
"But we will continue to look at larger opportunities, and for the most part, Robyn, those would be in our 6 areas of focus, therapeutic focus.",0
"The Group’s shareholders’ equity includes issued ordinary shares, retained earnings and reserves.",0
This “factory 4.0” solution was chosen by the Executive Management of EDF's nuclear fleet and is currently being deployed in all 58 nuclear generation units in France.,0
We had great newness in our stores to start the new year and our store team did a terrific job of recovering after the holidays and we offered our guest a very strong in-store shopping experience.,0
"Eiffage Énergie Systèmes designs, builds, maintains and operates every kind of power station, including photovoltaic solar, thermal solar, wind-powered, hydroelectric and biomass.",0
"So it's a journey, but we've made of massive amount of progress architecturally in the last several years moving our entire company there.",0
"In common with other UK pension schemes, whilst the fund is invested in oil, gas and other resource companies, the fund is also made up of significant holdings in renewable energy assets.",0
We're probably looking at maybe a 30 to 40 basis point increase as we sit here today.,0
"Our larg- est onshore wind farm in the UK, Pen y Cymoedd (228 MW), began operating at full capacity.",0
"In addition, it continued with the construction of the Shuaibah desalination plant in Saudi Arabia, the Salalah plant in Oman and the Susa plant in Tunisia.",0
We're in all the key swing states in very big ways.,0
The redevelopment also features Hammerson’s second carbon neutral Costa Eco Pod and the first Denny’s American Diner in the UK.,0
"So it's nice to see that people are recognizing the impact that our business has, in a positive way, on jobs in the region, and we still remain sensitive and committed to our Water First approach at Conga.",0
This includes developing water products with increased vitamin and mineral levels.,0
"And as we look to get to our 60%, plus or minus, by 2019, we've got to annually run in the 50% to 60% incremental margin range.",0
"And we also have another condominium project down on the Lower East Side here, which is going to be coming online, I think, by the end of the year, down on Second Avenue.",0
"It launched a civil suit pertaining to acts allegedly committed by the above-mentioned former supplier, as well as two former Directors and other individuals.",0
"And we continue to strive the balance on our rolling 4-quarters basis, the investments we make on gross and the reductions in our cost.",0
"And so when we move all the items through and looked at what we expect the return of profitability in 2010, we did have impairment.",0
