label,text,task
0, TY KU /taɪkuː/ is an American alcoholic beverage company that specializes in sake and other spirits. The privately-held company was founded in 2004 and is headquartered in New York City New York. While based in New York TY KU's beverages are made in Japan through a joint venture with two sake breweries. Since 2011 TY KU's growth has extended its products into all 50 states.,dbpedia_14
0, OddLot Entertainment founded in 2001 by longtime producers Gigi Pritzker and Deborah Del Prete (The Wedding Planner) is a film production and financing company based in Culver City California.OddLot produced the film version of Orson Scott Card's sci-fi novel Ender's Game. A film version of this novel had been in the works in one form or another for more than a decade by the time of its release.,dbpedia_14
0, Henkel AG & Company KGaA operates worldwide with leading brands and technologies in three business areas: Laundry & Home Care Beauty Care and Adhesive Technologies. Henkel is the name behind some of America’s favorite brands.,dbpedia_14
0, The GOAT Store (Games Of All Type Store) LLC is one of the largest retro gaming online stores and an Independent Video Game Publishing Label. Additionally they are one of the primary sponsors for Midwest Gaming Classic.,dbpedia_14
0, RagWing Aircraft Designs (also called the RagWing Aeroplane Company and RagWing Aviation) was an American aircraft design and manufacturing company based in Belton South Carolina.,dbpedia_14
0, Pošte Srpske is one of three companies responsible for postal service in Bosnia and Herzegovina. The other two are BH Pošta and Hrvatska Pošta Mostar.,dbpedia_14
0, Open Kernel Labs (OK Labs) is a privately owned company that develops microkernel-based hypervisors and operating systems for embedded systems. The company was founded in 2006 by Steve Subar and Gernot Heiser as a spinout from NICTA. It is headquartered in Chicago while research and development is located in Sydney Australia. The company was acquired by General Dynamics in September 2012.,dbpedia_14
0, Skye Bank Plc. commonly known as Skye Bank is a commercial bank based in Nigeria. It is one of the twenty-six (26) commercial banks licensed by the Central Bank of Nigeria the country's banking regulator.,dbpedia_14
0, CNet Technology is a Taiwanese company that manufactures network equipment such as network cards switches and modems.,dbpedia_14
0, 188BET is an online sportsbook provider. 188BET is owned by Cube Limited which is licensed and regulated by the Isle of Man.,dbpedia_14
0, MEPC plc is a leading British-based property investment and development business. It is headquartered in London. It used to be listed on the London Stock Exchange and was once a constituent of the FTSE 100 Index. It is however now owned by the British Telecom Pension Fund and the Royal Mail Pension Fund.,dbpedia_14
0, Walter Aircraft Engines was a company that manufactured aircraft engines particularly the M601 turboprop. Based in Prague Czech Republic the company has been a subsidiary of GE Aviation since July 2008.,dbpedia_14
0, Exim Bank is The Export-Import Bank of Romania based in Bucharest.,dbpedia_14
0, Shell Oil Company is the United States-based subsidiary of Royal Dutch Shell a multinational oil company (oil major) of Anglo–Dutch origins which is amongst the largest oil companies in the world. Approximately 22000 Shell employees are based in the U.S. The U.S. head office is in Houston Texas.,dbpedia_14
0, Anabolic Video is an American pornographic movie studio headquartered in Chatsworth California. The studio was a pioneer of gonzo pornography and is considered one of the most successful gonzo producers.,dbpedia_14
0, Thon Hotels (formerly known as Rainbow Hotels) is owned by Olav Thon and was established in 1989. The Norwegian Olav Thon bought his first hotel in 1974 Hotel Bristol in Oslo.,dbpedia_14
0, Cook Group Incorporated is an American privately held company based in Bloomington Indiana and primarily involved in manufacturing of medical devices. It was ranked #324 in Forbes' 2008 America's Largest Private Companies. It has three main divisions: Cook Medical Allied Manufacturing and Affiliates. All three divisions are made up of several subsidiary companies.The flagship company Cook Incorporated part of the Medical division was founded in 1963 in a spare bedroom in Bloomington.,dbpedia_14
0, Slumberland Furniture Inc. is a furniture retailer in the Midwestern United States founded in 1967. Originally the company specialized in mattresses and La-Z-Boy recliners. Today Slumberland has 127 stores in 12 states. It is one of America's top sellers of La-Z-Boy upholstery and the top seller of Sealy and Simmons in the Midwest.[citation needed] The headquarters are located in Little Canada Minnesota.,dbpedia_14
0, Outboard Marine Corporation (OMC) was a maker of Evinrude and Johnson boat motors and many different brands of boats. Evinrude began in Milwaukee Wisconsin in 1907. OMC was based in Waukegan Illinois. They also owned several lines of boats such as Chris Craft Lowe Boats Princecraft Four Winns SeaSwirl Stratos and Javelin. OMC was also a parent company to Ryan which made lawn mowers.OMC sold 100000 motors in 2000 and had one third of the outboard market.,dbpedia_14
0, The Moon River Brewing Company is a brew pub - restaurant bar and brewing facility.,dbpedia_14
0, Murfin Music International and Murfin Media are companies run by Muff Murfin and are based at The Old Smithy Studios in Kempsey Worcestershire England.Murfin owns several radio stations in the UK and also hires time at its studios to produce jingles for radio. Murfin with his then music partner Colin Owen were billed as the M and O Band and reached #16 in the UK Singles Chart in March 1976 with Let's Do the Latin Hustle.,dbpedia_14
0, Avista Utilities is a U.S. energy company. Avista generates and transmits electricity and distributes natural gas while providing energy solutions for residential commercial and industrial customers. Approximately 1550[citation needed] employees provides electricity natural gas and other energy services to 359000 electric and 320000 natural gas customers[citation needed] in three western states.,dbpedia_14
0, Korchma Taras Bulba – the chain of restaurants which was developed by Juriy Beloivan in 1999.,dbpedia_14
0, Arçelik A.Ş. is a household appliances manufacturer in Turkey. The Company engages in the production and marketing of durable goods components consumer electronics and after-sale services. Its products include white goods electronic products small home appliances and kitchen accessories such as refrigerators freezers washing machines dishwashers aspirators vacuum cleaners coffee makers and blenders.Arçelik A.Ş.,dbpedia_14
0, Ace of Clubs was owned by Decca Records in the UK and was used to reissue classical music in LP form from their back catalogue at a reduced price. Decca also owned Ace of Hearts Records which did exactly the same job but with US material.,dbpedia_14
0, Aerostar S.A. is an aeronautical manufacturing company based in Bacău Romania.,dbpedia_14
0, Shandong Gaosu Group or Shandong Hi-Speed Group Corporation (Chinese: 山东高速集团有限公司) (SDHS) is a state-owned enterprise in Jinan China engaging in the construction and management of transportation infrastructure throughout the People's Republic of China. SDHS is owned by the Shandong Provincial People's Government and plays a major role developing and managing highways airports and seaports throughout the province.,dbpedia_14
0, Aras Corporation is an American developer and publisher of product development software Aras Innovator. The Aras Innovator software is used for product lifecycle management (PLM) advanced product quality planning (APQP) lean product development product quality control collaborative product development and new product introduction (NPI). Aras Corp was founded in 2000 in Andover Massachusetts.,dbpedia_14
0, Lam Research Corporation is an American corporation that engages in the design manufacture marketing and service of semiconductor processing equipment used in the fabrication of integrated circuits.,dbpedia_14
0, Mataano is a women's fashion line. Founded in 2008 it is owned by Somali-American twin fashion designers Ayaan and Idyl Mohallim. The brand is noted for its global sensibility and accent on ready-to-wear elegance.,dbpedia_14
0, Delek Group is of one Israel's largest companies owned by Yitzhak Tshuva (Isaac Sharon) a self-made multi-millionaire. Delek Group is involved in the energy and infrastructure with investments in upstream and downstream energy water desalination and power plants. Delek Group' subsidiaries are also involved in insurance and financial services.,dbpedia_14
0, Elcoteq SE was a Finnish consumer electronics contract manufacturer EMS and ODM company headquartered in Luxembourg. The company filed for bankruptcy protection in Luxembourg on October 6 2011.It is a manufacturer of the BlackBerry and also performed repair and refurbishment services.,dbpedia_14
0, CSL Behring is one of the world's leading plasma protein biotherapeutics companies. Committed to saving lives and improving the quality of life for people with rare and serious diseases the company manufactures a range of plasma-derived and recombinant therapies worldwide.,dbpedia_14
0, The Pontificia Fonderia Marinelli (or Marinelli Pontifical Foundry Marinelli Bell Foundry) is the successor of a bell foundry already at work in Agnone Italy in 1040. The bell foundry is considered Italy's oldest family business and among the three oldest family businesses worldwide. In addition to a bell foundry it is an artisan foundry that produces bronze portals bas-reliefs church artifacts and bell restorations.,dbpedia_14
